label,text
1,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
1,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
0,am up to my eyes in philosophy
1,500 free text msgs. Just text ok to 80488 and we'll credit your account
0,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.
0,Webpage s not available!
0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
1,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
0,Ok.
0,YO YO YO BYATCH WHASSUP?
0,Going to take your babe out ?
0,Even if he my friend he is a priest call him now
1,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
0,No that just means you have a fat head
0,I think the other two still need to get cash but we can def be ready by 9
0,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
1,Please CALL 08712402779 immediately as there is an urgent message waiting for you
1,Please CALL 08712402972 immediately as there is an urgent message waiting for you
0,"Sorry, I'll call later"
1,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
1,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
1,RCT' THNQ Adrian for U text. Rgds Vatian
0,Cool. So how come you havent been wined and dined before?
0,Okay but i thought you were the expert
1,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
0,I'm already back home so no probably not
0,Dont pick up d call when something important is There to tell. Hrishi
1,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
0,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
0,I cant pick the phone right now. Pls send a message
1,3. You have received your mobile content. Enjoy
1,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
0,How are you holding up?
0,Leave it. U will always be ignorant.
1,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
0,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
0,Did you show him and wot did he say or could u not c him 4 dust?
0,In that case I guess I'll see you at campus lodge
0,"""Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."""
